start.station.id,end.station.name,dia.llegada,mes.llegada,año.llegada,Numero.viajes
3184,Harborside,18,9,2019,1
3184,Harborside,18,9,2020,2
3184,Harborside,20,9,2019,2
3184,Harborside,22,9,2019,2
3184,Harborside,23,9,2019,1
3184,Harborside,23,9,2020,1
3184,Harborside,24,9,2019,2
3184,Harborside,24,9,2020,1
3184,Harborside,25,9,2020,1
3184,Harborside,26,9,2020,1
3184,Harborside,27,9,2019,1
3184,Harborside,28,9,2020,2
3184,Harborside,29,9,2019,3
3184,Harborside,29,9,2020,1
3184,Harborside,30,9,2020,4
3184,Heights Elevator,1,9,2020,2
3184,Heights Elevator,11,10,2020,2
3184,Heights Elevator,28,9,2019,1
3184,Heights Elevator,30,9,2019,1
3184,Hilltop,6,10,2020,1
3184,Hilltop,16,9,2020,1
3184,Hilltop,24,9,2020,1
3184,Hilltop,28,9,2020,1
3184,Hoboken Ave at Monmouth St,4,9,2019,1
3184,Hoboken Ave at Monmouth St,5,9,2019,2
3184,Hoboken Ave at Monmouth St,8,10,2020,1
3184,Hoboken Ave at Monmouth St,11,10,2020,1
3184,Hoboken Ave at Monmouth St,12,9,2020,1
3184,Hoboken Ave at Monmouth St,17,9,2019,1
3184,Hoboken Ave at Monmouth St,19,9,2019,1
3184,Hoboken Ave at Monmouth St,24,9,2019,2
3184,Hoboken Ave at Monmouth St,24,9,2020,1
3184,Hoboken Ave at Monmouth St,30,9,2020,1
3184,JC Medical Center,1,9,2020,1
3184,JC Medical Center,1,10,2020,2
3184,JC Medical Center,2,9,2020,1
3184,JC Medical Center,3,9,2020,4
3184,JC Medical Center,3,10,2020,1
3184,JC Medical Center,4,9,2020,2
3184,JC Medical Center,6,9,2020,1
3184,JC Medical Center,8,9,2020,2
3184,JC Medical Center,9,9,2020,2
3184,JC Medical Center,10,9,2019,2
3184,JC Medical Center,10,9,2020,3
3184,JC Medical Center,11,9,2019,2
3184,JC Medical Center,11,9,2020,4
3184,JC Medical Center,12,9,2020,2
3184,JC Medical Center,14,9,2020,1
3184,JC Medical Center,15,9,2019,1
3184,JC Medical Center,15,9,2020,2
3184,JC Medical Center,17,9,2019,2
3184,JC Medical Center,19,9,2020,1
3184,JC Medical Center,21,9,2019,2
3184,JC Medical Center,23,9,2019,1
3184,JC Medical Center,25,9,2019,2
3184,JC Medical Center,25,9,2020,1
3184,JC Medical Center,26,9,2019,2
3184,JC Medical Center,26,9,2020,2
3184,JC Medical Center,27,9,2019,1
3184,JC Medical Center,28,9,2019,2
3184,JC Medical Center,29,9,2020,1
3184,JC Medical Center,30,9,2020,2
3184,JCBS Depot,30,9,2019,1
3184,Jackson Square,1,10,2020,1
3184,Jackson Square,22,9,2020,1
3184,Jackson Square,29,9,2020,1
3184,Jersey & 3rd,3,9,2019,3
3184,Jersey & 3rd,4,9,2019,1
3184,Jersey & 3rd,4,10,2020,1
3184,Jersey & 3rd,7,10,2020,1
3184,Jersey & 3rd,9,9,2019,2
3184,Jersey & 3rd,11,9,2019,2
3184,Jersey & 3rd,11,9,2020,2
3184,Jersey & 3rd,12,9,2019,1
3184,Jersey & 3rd,15,9,2019,1
3184,Jersey & 3rd,16,9,2019,1
3184,Jersey & 3rd,19,9,2019,1
3184,Jersey & 3rd,19,9,2020,1
3184,Jersey & 3rd,20,9,2020,2
3184,Jersey & 3rd,21,9,2020,1
3184,Jersey & 3rd,22,9,2019,2
3184,Jersey & 3rd,25,9,2019,1
3184,Jersey & 3rd,26,9,2019,1
3184,Jersey & 3rd,27,9,2019,1
3184,Jersey & 3rd,30,9,2019,1
3184,Jersey & 6th St,4,9,2019,1
3184,Jersey & 6th St,5,9,2020,1
3184,Jersey & 6th St,6,9,2020,1
3184,Jersey & 6th St,7,9,2020,1
3184,Jersey & 6th St,8,10,2020,1
3184,Jersey & 6th St,9,9,2019,1
3184,Jersey & 6th St,11,9,2020,1
3184,Jersey & 6th St,13,9,2019,1
3184,Jersey & 6th St,14,9,2019,1
3184,Jersey & 6th St,17,9,2019,1
3184,Jersey & 6th St,20,9,2019,1
3184,Jersey & 6th St,22,9,2019,1
3184,Jersey & 6th St,23,9,2019,1
3184,Jersey & 6th St,23,9,2020,1
3184,Jersey & 6th St,24,9,2020,1
3184,Jersey & 6th St,25,9,2019,1
3184,Jersey & 6th St,25,9,2020,3
3184,Jersey & 6th St,26,9,2019,1
3184,Jersey & 6th St,27,9,2019,1
3184,Jersey & 6th St,27,9,2020,1
3184,Jersey & 6th St,28,9,2020,1
3184,Jersey & 6th St,29,9,2019,1
3184,Jersey & 6th St,30,9,2020,1
3184,Journal Square,6,9,2019,1
3184,Journal Square,7,9,2019,2
3184,Journal Square,9,9,2019,1
3184,Journal Square,19,9,2019,1
3184,Journal Square,21,9,2019,1
3184,Journal Square,28,9,2019,1
3184,Lafayette Park,1,9,2019,1
3184,Lafayette Park,1,9,2020,1
3184,Lafayette Park,1,10,2020,1
3184,Lafayette Park,2,9,2019,2
3184,Lafayette Park,3,9,2020,1
3184,Lafayette Park,4,9,2020,1
3184,Lafayette Park,5,9,2019,2
3184,Lafayette Park,5,10,2020,1
3184,Lafayette Park,7,10,2020,1
3184,Lafayette Park,8,9,2020,1
3184,Lafayette Park,9,9,2020,1
3184,Lafayette Park,9,10,2020,1
3184,Lafayette Park,10,9,2020,1
3184,Lafayette Park,10,10,2020,1
3184,Lafayette Park,11,9,2019,1
3184,Lafayette Park,11,9,2020,1
3184,Lafayette Park,13,9,2019,1
3184,Lafayette Park,15,9,2020,1
3184,Lafayette Park,17,9,2019,1
3184,Lafayette Park,18,9,2020,1
3184,Lafayette Park,20,9,2019,1
3184,Lafayette Park,21,9,2019,1
3184,Lafayette Park,22,9,2019,2
3184,Lafayette Park,28,9,2019,2
3184,Lafayette Park,29,9,2019,2
3184,Leonard Gordon Park,17,9,2019,1
3184,Liberty Light Rail,2,9,2019,2
3184,Liberty Light Rail,3,9,2019,2
3184,Liberty Light Rail,4,9,2019,1
3184,Liberty Light Rail,5,9,2019,1
3184,Liberty Light Rail,5,9,2020,5
3184,Liberty Light Rail,6,9,2019,3
3184,Liberty Light Rail,6,9,2020,12
3184,Liberty Light Rail,7,9,2019,1
3184,Liberty Light Rail,7,9,2020,1
3184,Liberty Light Rail,8,9,2019,1
3184,Liberty Light Rail,8,10,2020,1
3184,Liberty Light Rail,9,9,2019,3
3184,Liberty Light Rail,9,10,2020,3
3184,Liberty Light Rail,10,9,2019,2
3184,Liberty Light Rail,10,10,2020,5
3184,Liberty Light Rail,11,9,2019,2
3184,Liberty Light Rail,12,9,2019,1
3184,Liberty Light Rail,13,9,2019,4
3184,Liberty Light Rail,13,9,2020,2
3184,Liberty Light Rail,14,9,2019,5
3184,Liberty Light Rail,14,9,2020,1
3184,Liberty Light Rail,15,9,2019,1
3184,Liberty Light Rail,16,9,2019,3
3184,Liberty Light Rail,17,9,2019,1
3184,Liberty Light Rail,18,9,2019,4
3184,Liberty Light Rail,18,9,2020,1
3184,Liberty Light Rail,19,9,2019,4
3184,Liberty Light Rail,19,9,2020,1
3184,Liberty Light Rail,20,9,2019,4
3184,Liberty Light Rail,20,9,2020,1
3184,Liberty Light Rail,21,9,2019,1
3184,Liberty Light Rail,22,9,2020,1
3184,Liberty Light Rail,23,9,2019,5
3184,Liberty Light Rail,23,9,2020,1
3184,Liberty Light Rail,24,9,2019,2
3184,Liberty Light Rail,25,9,2019,4
3184,Liberty Light Rail,25,9,2020,2
3184,Liberty Light Rail,26,9,2019,1
3184,Liberty Light Rail,27,9,2019,3
3184,Liberty Light Rail,27,9,2020,3
3184,Liberty Light Rail,28,9,2019,1
3184,Liberty Light Rail,29,9,2019,2
3184,Liberty Light Rail,29,9,2020,1
3184,Liberty Light Rail,30,9,2019,3
3184,Liberty Light Rail,30,9,2020,1
3184,Manila & 1st,2,9,2019,1
3184,Manila & 1st,4,10,2020,1
3184,Manila & 1st,6,9,2020,1
3184,Manila & 1st,9,9,2019,1
3184,Manila & 1st,10,10,2020,1
3184,Manila & 1st,17,9,2020,1
3184,Manila & 1st,20,9,2020,1
3184,Manila & 1st,24,9,2019,1
3184,Manila & 1st,28,9,2019,1
3184,Manila & 1st,30,9,2020,1
3184,Marin Light Rail,1,9,2019,3
